# Constraint-filtered scan universe. Generated by constraint_layer.py.
# Built 2026-09-12T15:35:06+00:00 from bhavcopy 2026-09-11.
# Filters: mcap>=1000cr, turnover>=5.0cr/day (median of 60 sessions), series==EQ, not ASM/GSM.
# TODAY-ONLY. Not valid as a historical backtest universe.
INE040A01034,HDFCBANK.NS
INE0J1Y01017,LICI.NS
INE021A01026,ASIANPAINT.NS
INE918I01026,BAJAJFINSV.NS
INE343H01029,SOLARINDS.NS
INE019A01038,JSWSTEEL.NS
INE685A01028,TORNTPHARM.NS
INE388Y01029,NYKAA.NS
INE027H01010,MAXHEALTH.NS
INE075A01022,WIPRO.NS
INE127D01025,HDFCAMC.NS
INE178A01016,CHENNPETRO.NS
INE417T01026,POLICYBZR.NS
INE878B01027,KEI.NS
INE326A01037,LUPIN.NS
INE121J01017,INDUSTOWER.NS
INE465A01025,BHARATFORG.NS
INE371P01015,AMBER.NS
INE029A01011,BPCL.NS
INE020B01018,RECLTD.NS
INE171A01029,FEDERALBNK.NS
INE663F01032,NAUKRI.NS
INE795G01014,HDFCLIFE.NS
INE117A01022,ABB.NS
INE123W01016,SBILIFE.NS
INE192R01011,DMART.NS
INE704J01044,VOGL.NS
INE736A01011,CDSL.NS
INE214T01019,LTM.NS
INE249Z01020,MAZDOCK.NS
INE732I01021,ANGELONE.NS
INE073K01018,SONACOMS.NS
INE171Z01026,BDL.NS
INE377N01017,WAAREEENER.NS
INE245A01021,TATAPOWER.NS
INE522D01027,MANAPPURAM.NS
INE376G01013,BIOCON.NS
INE148O01028,DELHIVERY.NS
INE584A01023,NMDC.NS
INE949L01017,AUBANK.NS
INE323A01026,BOSCHLTD.NS
INE095A01012,INDUSINDBK.NS
INE192A01025,TATACONSUM.NS
INE976G01028,RBLBANK.NS
INE160A01022,PNB.NS
INE545U01014,BANDHANBNK.NS
INE0DYJ01015,SYRMA.NS
INE216A01030,BRITANNIA.NS
INE562A01011,INDIANB.NS
INE406A01037,AUROPHARMA.NS
INE0V6F01027,HYUNDAI.NS
INE498L01015,LTF.NS
INE1NPP01017,ENRIN.NS
INE196A01026,MARICO.NS
INE053A01029,INDHOTEL.NS
INE451A01017,FORCEMOT.NS
INE704P01025,COCHINSHIP.NS
INE059A01026,CIPLA.NS
INE956G01038,WABAG.NS
INE484J01027,GODREJPROP.NS
INE674K01013,ABCAPITAL.NS
INE068V01023,GLAND.NS
INE242A01010,IOC.NS
INE528G01035,YESBANK.NS
INE049B01025,WOCKPHARMA.NS
INE274J01014,OIL.NS
INE010B01027,ZYDUSLIFE.NS
INE302A01020,EXIDEIND.NS
INE318A01026,PIDILITIND.NS
INE092T01019,IDFCFIRSTB.NS
INE944F01028,RADICO.NS
INE419M01035,TDPOWERSYS.NS
INE776C01039,GMRAIRPORT.NS
INE121E01018,JSWENERGY.NS
INE176B01034,HAVELLS.NS
INE003A01024,SIEMENS.NS
INE129A01019,GAIL.NS
INE530B01024,IIFL.NS
INE935A01035,GLENMARK.NS
INE148I01020,SAMMAANCAP.NS
INE305A01023,TFCILTD.NS
INE777K01022,RRKABEL.NS
INE811K01011,PRESTIGE.NS
INE891D01026,REDINGTON.NS
INE02IJ01035,AZAD.NS
INE01EA01019,VMM.NS
INE356A01018,MPHASIS.NS
INE061F01013,FORTIS.NS
INE702C01027,APLAPOLLO.NS
INE765G01017,ICICIGI.NS
INE749A01030,JINDALSTEL.NS
INE761H01022,PAGEIND.NS
INE466L01038,360ONE.NS
INE048G01026,NAVINFLUOR.NS
INE084A01016,BANKINDIA.NS
INE628A01036,UPL.NS
INE298J01013,NAM-INDIA.NS
INE290S01011,CARTRADE.NS
INE010J01012,TEJASNET.NS
INE242C01024,ANANTRAJ.NS
INE0BS701011,PREMIERENE.NS
INE04I401011,KPITTECH.NS
INE382Z01011,GRSE.NS
INE103A01014,MRPL.NS
INE457A01014,MAHABANK.NS
INE211B01039,PHOENIXLTD.NS
INE0LP301011,PWL.NS
INE018E01016,SBICARD.NS
INE880J01026,JSWINFRA.NS
INE226A01021,VOLTAS.NS
INE551W01018,UJJIVANSFB.NS
INE855B01025,RAIN.NS
INE079A01024,AMBUJACEM.NS
INE415G01027,RVNL.NS
INE0DK501011,PPLPHARMA.NS
INE774D01024,M&MFIN.NS
INE854D01024,UNITDSPR.NS
INE596I01020,CAMS.NS
INE794A01010,NEULANDLAB.NS
INE346A01027,ICICIAMC.NS
INE180A01020,MFSL.NS
INE457L01029,PGEL.NS
INE619A01035,PATANJALI.NS
INE894V01022,BELRISE.NS
INE405E01023,UNOMINDA.NS
INE115A01026,LICHSGFIN.NS
INE572E01012,PNBHOUSING.NS
INE017A01032,GESHIP.NS
INE670A01012,TATAELXSI.NS
INE102D01028,GODREJCP.NS
INE180C01042,CGCL.NS
INE085J01014,THANGAMAYL.NS
INE420C01059,PAISALO.NS
INE251B01027,ZENTEC.NS
INE281B01032,LLOYDSME.NS
INE634S01028,MANKIND.NS
INE138Y01010,KFINTECH.NS
INE647A01010,SRF.NS
INE066P01011,INOXWIND.NS
INE848E01016,NHPC.NS
INE694L01019,VEDPOWER.NS
INE797F01020,JUBLFOOD.NS
INE006I01046,ASTRAL.NS
INE980O01024,JYOTICNC.NS
INE016A01026,DABUR.NS
INE0W2G01015,SAGILITY.NS
INE299U01018,CROMPTON.NS
INE152A01029,THERMAX.NS
INE142M01025,TATATECH.NS
INE101D01020,GRANULES.NS
INE338I01027,MOTILALOFS.NS
INE0LCL01028,AVALON.NS
INE008A01015,IDBI.NS
INE1C6T01020,EMMVEE.NS
INE726G01019,ICICIPRULI.NS
INE614B01018,KTKBANK.NS
INE053F01010,IRFC.NS
INE974X01010,TIINDIA.NS
INE508G01029,TIMETECHNO.NS
INE093I01010,OBEROIRLTY.NS
INE111A01025,CONCOR.NS
INE292B01021,HBLENGINE.NS
INE351F01018,JPPOWER.NS
INE195A01028,SUPREMEIND.NS
INE540L01014,ALKEM.NS
INE324D01010,LGEINDIA.NS
INE491A01021,CUB.NS
INE202B01038,PIRAMALFIN.NS
INE109A01011,SCI.NS
INE024001021,AEROFLEX.NS
INE622W01025,ACMESOLAR.NS
INE095N01031,NBCC.NS
INE807F01027,VIYASH.NS
INE418L01047,NAZARA.NS
INE036D01028,KARURVYSYA.NS
INE09N301011,FLUOROCHEM.NS
INE531F01023,NUVAMA.NS
INE259A01022,COLPAL.NS
INE883A01011,MRF.NS
INE589A01014,NLCINDIA.NS
INE955D01029,GENUSPOWER.NS
INE549A01026,HCC.NS
INE570L01029,SAILIFE.NS
INE914M01019,ASTERDM.NS
INE399G01023,RKFORGE.NS
INE045J01034,FCL.NS
INE399L01023,ATGL.NS
INE05HV01027,CMPDI.NS
INE619B01017,NEWGEN.NS
INE131A01031,GMDCLTD.NS
INE371A01025,GRAPHITE.NS
INE750C01026,MARKSANS.NS
INE168A01041,J&KBANK.NS
INE12F801023,KISSHT.NS
INE347G01014,PETRONET.NS
INE0CAZ01013,URBANCO.NS
INE118A01012,BAJAJHLDNG.NS
INE510A01028,ENGINERSIN.NS
INE0CZ201020,ANTHEM.NS
INE151G01028,SHAILY.NS
INE472A01039,BLUESTARCO.NS
INE603J01030,PIIND.NS
INE119A01028,BALRAMCHIN.NS
INE511C01022,POONAWALLA.NS
INE088F01024,PARADEEP.NS
INE463V01026,ANANDRATHI.NS
INE885A01032,ARE&M.NS
INE258A01024,BEML.NS
INE202E01016,IREDA.NS
INE235A01022,FINCABLES.NS
INE151A01013,TATACOMM.NS
INE614G01033,RPOWER.NS
INE192B01031,WELSPUNLIV.NS
INE616N01034,INOXINDIA.NS
INE683A01023,SOUTHBANK.NS
INE813H01021,TORNTPOWER.NS
INE410P01011,NH.NS
INE763I01026,TARIL.NS
INE00LO01017,CRAFTSMAN.NS
INE102B01014,CHOICEIN.NS
INE699H01024,AWL.NS
INE741K01010,CREDITACC.NS
INE070A01015,SHREECEM.NS
INE810G01011,SHYAMMETL.NS
INE967H01025,KIMS.NS
INE260B01028,GODFRYPHLP.NS
INE524A01029,GABRIEL.NS
INE600L01024,LALPATHLAB.NS
INE0J5401028,HONASA.NS
INE07T201019,RBA.NS
INE839M01018,SCHNEIDER.NS
INE022Q01020,IEX.NS
INE976I01016,TATACAP.NS
INE520A01027,ZENSARTECH.NS
INE288B01029,DEEPAKNTR.NS
INE419U01012,HAPPSTMNDS.NS
INE260D01016,OLECTRA.NS
INE836A01035,BSOFT.NS
INE0FRK01020,MOTISONS.NS
INE532F01054,EDELWEISS.NS
INE787D01026,BALKRISIND.NS
INE738I01010,ECLERX.NS
INE0YD401026,JAINREC.NS
INE571A01038,IPCALAB.NS
INE00R701025,DALBHARAT.NS
INE335Y01020,IRCTC.NS
INE976R01033,AGIIL.NS
INE769A01020,AARTIIND.NS
INE602W01027,SENCO.NS
INE0BWX01014,AETHER.NS
INE324A01032,JINDALSAW.NS
INE935B01025,MOSCHIP.NS
INE024L01027,GRAVITA.NS
INE933K01021,BAJAJCON.NS
INE19RI01016,TENNIND.NS
INE220G01021,JSL.NS
INE498Q01014,VINCOFE.NS
INE495P01020,BECTORFOOD.NS
INE389H01022,KEC.NS
INE0FS801015,MSUMI.NS
INE0CLI01024,RATEGAIN.NS
INE034A01011,ARVIND.NS
INE031A01017,HUDCO.NS
INE871C01038,AVANTIFEED.NS
INE078V01014,VIKRAMSOLR.NS
INE18JU01028,EBGNG.NS
INE439E01022,SKIPPER.NS
INE379A01028,ITCHOTELS.NS
INE913H01037,ENDURANCE.NS
INE501A01019,DEEPAKFERT.NS
INE482A01020,CEATLTD.NS
INE615H01020,TITAGARH.NS
INE844O01030,GUJENERGY.NS
INE191H01014,PVRINOX.NS
INE731H01025,ACE.NS
INE152M01016,TRITURBINE.NS
INE602A01031,PCBL.NS
INE987B01026,NATCOPHARM.NS
INE177H01039,GPIL.NS
INE474Q01031,MEDANTA.NS
INE291A01017,GRWRHITECH.NS
INE756I01012,HDBFS.NS
INE540H01012,VOLTAMP.NS
INE854B01010,JAYNECOIND.NS
INE010V01017,LTTS.NS
INE970X01018,LEMONTREE.NS
INE00XB01019,SEDEMAC.NS
INE199P01028,GCSL.NS
INE013P01021,ONESOURCE.NS
INE269A01021,SONATSOFTW.NS
INE930H01031,KPRMILL.NS
INE136B01020,CYIENT.NS
INE0RB801010,SENORES.NS
INE548C01032,EMAMILTD.NS
INE031B01049,AJANTPHARM.NS
INE726V01018,PRICOLLTD.NS
INE659A01023,SUDARSCHEM.NS
INE953L01027,JSFB.NS
INE930P01018,ANURAS.NS
INE398R01022,SYNGENE.NS
INE483C01032,TANLA.NS
INE00WC01027,AFFLE.NS
INE872J01023,DEVYANI.NS
INE06ZD01017,SHANTIGOLD.NS
INE0KBH01020,BLUEJET.NS
INE0J5801029,JSLL.NS
INE596F01018,PTCIL.NS
INE00VM01036,MANORAMA.NS
INE153T01027,BLS.NS
INE573A01042,JKTYRE.NS
INE780C01023,JMFINANCIL.NS
INE133E01013,TI.NS
INE224A01026,GREAVESCOT.NS
INE128S01021,FIVESTAR.NS
INE092A01019,TATACHEM.NS
INE0INX01018,AEGISVOPAK.NS
INE217B01036,KAJARIACER.NS
INE470Y01017,NIACL.NS
INE127I01024,GOODLUCK.NS
INE0LLY01014,EIEL.NS
INE404A01024,ABSLAMC.NS
INE212S01015,FRACTAL.NS
INE080I01025,LLOYDSENT.NS
INE791I01019,BRIGADE.NS
INE953R01016,PNGJL.NS
INE475E01026,CAPLIPOINT.NS
INE025B01025,GOLDIAM.NS
INE045B01015,NELCO.NS
INE684F01012,FSL.NS
INE03QK01018,COHANCE.NS
INE666D01022,BORORENEW.NS
INE526E01018,SHRIPISTON.NS
INE555B01013,AXISCADES.NS
INE02YR01019,EMIL.NS
INE1SY401010,RAYMONDREL.NS
INE126A01031,EIDPARRY.NS
INE342J01019,ZFCVINDIA.NS
INE169A01031,COROMANDEL.NS
INE115Q01022,IKS.NS
INE438A01022,APOLLOTYRE.NS
INE0BV301023,MAPMYINDIA.NS
INE168P01015,EMCURE.NS
INE852O01025,APTUS.NS
INE306R01017,INTELLECT.NS
INE099Z01011,MIDHANI.NS
INE358A01014,ABBOTINDIA.NS
INE042A01014,ESCORTS.NS
INE284S01014,SJS.NS
INE05XR01022,BHARATCOAL.NS
INE377Y01014,BAJAJHFL.NS
INE665A01038,SWANCORP.NS
INE212H01026,AIAENG.NS
INE121R01077,AMAGI.NS
INE868B01028,NCC.NS
INE676A01027,BBOX.NS
INE552D01024,CONFIPET.NS
INE481Y01014,GICRE.NS
INE823G01014,JKCEMENT.NS
INE887G01027,GOKEX.NS
INE172A01027,CASTROLIND.NS
INE872H01027,LUMAXTECH.NS
INE063E01061,POCL.NS
INE842C01021,MINDACORP.NS
INE542W01025,KPIGREEN.NS
INE136S01016,NEOGEN.NS
INE979A01025,SAREGAMA.NS
INE0UH301010,OMNI.NS
INE850M01015,NORTHARC.NS
INE645S01024,ROLEXRINGS.NS
INE0ONG01011,NTPCGREEN.NS
INE348A01023,ASHAPURMIN.NS
INE673O01025,TBOTEK.NS
INE007A01025,CRISIL.NS
INE647U01026,CLEANMAX.NS
INE0BY001018,JUBLINGREA.NS
INE232I01014,SPARC.NS
INE07RO01027,SUPRIYA.NS
INE126M01010,IBULLSLTD.NS
INE575P01011,STARHEALTH.NS
INE621H01010,RELIGARE.NS
INE513A01022,SCHAEFFLER.NS
INE149A01033,CHOLAHLDNG.NS
INE285A01027,ELGIEQUIP.NS
INE085001019,WEWORK.NS
INE647O01011,ABFRL.NS
INE228A01035,USHAMART.NS
INE660A01013,SUNDARMFIN.NS
INE0JO301016,YATHARTH.NS
INE908D01010,SHAKTIPUMP.NS
INE939A01011,STAR.NS
INE043W01024,VIJAYA.NS
INE09XN01023,AKUMS.NS
INE503A01015,DCBBANK.NS
INE486A01021,CESC.NS
INE483A01010,CENTRALBK.NS
INE987S01020,KSHINTL.NS
INE113A01013,GNFC.NS
INE0MLS01022,EPACKPEB.NS
INE0QPI01025,SUDEEPPHRM.NS
INE415B01044,MARSONS.NS
INE111B01023,63MOONS.NS
INE256C01024,TRIVENI.NS
INE227W01023,CLEAN.NS
INE039C01032,JAMNAAUTO.NS
INE818H01020,LTFOODS.NS
INE0U3I01011,UNIMECH.NS
INE945H01021,V2RETAIL.NS
INE959A01019,PRIVISCL.NS
INE203G01027,IGL.NS
INE483B01026,ICIL.NS
INE258G01013,SUMICHEM.NS
INE483S01020,CCAVENUE.NS
INE0AQ201015,THELEELA.NS
INE074A01025,PRAJIND.NS
INE100A01010,ATUL.NS
INE220B01022,KPIL.NS
INE802C01033,SSWL.NS
INE0OJW01016,ROSSTECH.NS
INE552Z01027,ABDL.NS
INE00M201021,SWSOLAR.NS
INE510W01014,INOXGREEN.NS
INE594H01019,THYROCARE.NS
INE085A01013,CHAMBLFERT.NS
INE064A01026,TIMEX.NS
INE343G01021,BHARTIHEXA.NS
INE209B01025,RICOAUTO.NS
INE022I01019,ASIANTILES.NS
INE0HV901016,IXIGO.NS
INE517F01014,GPPL.NS
INE993A01026,MANINDS.NS
INE0Z4F01028,ATLANTAELE.NS
INE002S01010,MGL.NS
INE600Y01019,DYCL.NS
INE811A01038,KIRLPNU.NS
INE716A01013,WHIRLPOOL.NS
INE159A01016,GLAXO.NS
INE477A01020,CANFINHOME.NS
INE205C01021,POLYMED.NS
INE618R01015,SGFIN.NS
INE385F01024,SGMART.NS
INE012A01025,ACC.NS
INE120A01034,CARBORUNIV.NS
INE0LRU01027,AARTIPHARM.NS
INE903U01023,SIGNATURE.NS
INE0S3G01027,PACEDIGITK.NS
INE481N01025,HOMEFIRST.NS
INE933S01016,INDIAMART.NS
INE421D01022,CCL.NS
INE0BYP01024,OSWALPUMPS.NS
INE349Y01013,IDEAFORGE.NS
INE718I01012,JSWCEMENT.NS
INE00WV01027,CMRGREEN.NS
INE0SII01026,QPOWER.NS
INE391J01032,JTLIND.NS
INE209L01016,JWL.NS
INE02RE01045,FIRSTCRY.NS
INE878A01011,GVPIL.NS
INE0UIZ01018,BLACKBUCK.NS
INE621L01012,TEXRAIL.NS
INE035D01020,SOTL.NS
INE055A01016,ABREL.NS
INE949H01023,MANINFRA.NS
INE093A01041,HEXT.NS
INE570A01022,IONEXCHANG.NS
INE0Q9301021,IGIL.NS
INE989A01032,SANGHVIMOV.NS
INE768C01028,ZYDUSWELL.NS
INE0JA001018,VENUSPIPES.NS
INE576O01020,LXCHEM.NS
INE940H01022,PGIL.NS
INE119201023,PARKHOSPS.NS
INE063P01018,EQUITASBNK.NS
INE0NNS01018,NSLNISP.NS
INE927D01051,JBMA.NS
INE205B01031,ELECON.NS
INE0FHS01024,DEEPINDS.NS
INE925R01014,CMSINFO.NS
INE338H01029,CONCORDBIO.NS
INE005B01027,AVANTEL.NS
INE454P01035,TRANSRAILL.NS
INE12NJ01018,SAMBHV.NS
INE922A01025,BEPL.NS
INE349A01021,NRBBEARING.NS
INE372C01037,PRECWIRE.NS
INE463A01038,BERGEPAINT.NS
INE367G01038,PFOCUS.NS
INE806T01020,SAPPHIRE.NS
INE065X01017,INDGN.NS
INE962Y01021,IRCON.NS
INE713R01022,GSPCROP.NS
INE615P01015,QUESS.NS
INE506W01020,KRISHANA.NS
INE759A01021,MASTEK.NS
INE0HLU01028,MOBIKWIK.NS
INE094J01016,UTIAMC.NS
INE285K01026,TECHNOE.NS
INE491J01022,ASKAUTOLTD.NS
INE900L01028,MBAPL.NS
INE0AG901020,CEIGALL.NS
INE036B01030,GAEL.NS
INE716B01029,TIPSMUSIC.NS
INE07K301024,ZAGGLE.NS
INE784R01023,ARFIN.NS
INE0I7C01011,LATENTVIEW.NS
INE821I01022,IRB.NS
INE221B01012,DYNAMATECH.NS
INE233A01035,GODREJIND.NS
INE679A01013,CSBBANK.NS
INE665L01035,VARROC.NS
INE877F01012,PTC.NS
INE789E01012,JKPAPER.NS
INE919H01018,IMFA.NS
INE725G01011,ICRA.NS
INE385C01021,SARDAEN.NS
INE211R01019,POWERMECH.NS
INE473A01011,LINDEINDIA.NS
INE613A01020,RALLIS.NS
INE007N01010,FEDFINA.NS
INE276G01015,ASIANENE.NS
INE331A01037,RAMCOCEM.NS
INE139R01012,FUSION.NS
INE490G01020,MOIL.NS
INE883F01010,AADHARHFC.NS
INE206F01022,AIIL.NS
INE101I01011,AFCONS.NS
INE686F01025,UBL.NS
INE0DD101019,RAILTEL.NS
INE001B01026,KRBL.NS
INE182A01018,PFIZER.NS
INE700A01033,JUBLPHARMA.NS
INE0LRY01011,QUADFUTURE.NS
INE825V01034,MANYAVAR.NS
INE150B01039,ALKYLAMINE.NS
INE668F01031,JYOTHYLAB.NS
INE056I01025,REFEX.NS
INE546C01010,PICCADIL.NS
INE599M01018,JUSTDIAL.NS
INE671H01015,SOBHA.NS
INE743M01012,RHIM.NS
INE08U801020,SAMHI.NS
INE0NLT01010,BLSE.NS
INE255A01020,EPL.NS
INE732A01036,KIRLOSBROS.NS
INE112L01020,METROPOLIS.NS
INE668A01016,TMB.NS
INE921L01032,POWERICA.NS
INE725A01030,NAVA.NS
INE0N2P01017,RISHABH.NS
INE672A01026,TATAINVEST.NS
INE069I01010,EMBDL.NS
INE011K01018,TEGA.NS
INE916U01025,SFL.NS
INE176A01028,BATAINDIA.NS
INE792Z01011,SIRCA.NS
INE671A01010,HONAUT.NS
INE0Q3J01015,KRN.NS
INE221J01015,SHARDACROP.NS
INE05TO01019,AEROPLANE.NS
INE0J5601015,KRISHNADEF.NS
INE305C01029,PANAMAPET.NS
INE624Z01016,SOLARA.NS
INE501X01029,AYE.NS
INE0E7301029,WAKEFIT.NS
INE278H01035,SANDHAR.NS
INE0OV601013,EMSLIMITED.NS
INE299N01021,WAAREERTL.NS
INE0H9P01028,ARIS.NS
INE149K01016,SANDUMA.NS
INE825A01020,VTL.NS
INE1B3L01017,SHRINGARMS.NS
INE961O01016,RAINBOW.NS
INE845D01014,GANECOS.NS
INE004A01022,PROTEAN.NS
INE0JR601024,YATRA.NS
INE506A01018,DREDGECORP.NS
INE0MB501011,JGCHEM.NS
INE295D01020,NACLIND.NS
INE244O01017,UNIPARTS.NS
INE951I01027,VGUARD.NS
INE634I01029,KNRCON.NS
INE08KJ01020,MUFIN.NS
INE742C01031,JINDRILL.NS
INE350C01017,OPTIEMUS.NS
INE306A01021,BAJAJHIND.NS
INE325A01013,TIMKEN.NS
INE002L01015,SJVN.NS
INE387A01021,SUNDRMFAST.NS
INE579C01029,VIMTALABS.NS
INE803D01021,INDOBORAX.NS
INE212I01016,SPAL.NS
INE424H01027,SUNTV.NS
INE691A01018,UCOBANK.NS
INE322A01010,GILLETTE.NS
INE804L01022,MEDPLUS.NS
INE737H01014,FIEMIND.NS
INE428V01029,NEPHROPLUS.NS
INE2J8701016,SKFINDUS.NS
INE955V01021,ARVINDFASN.NS
INE679V01027,AVL.NS
INE399K01017,RTNPOWER.NS
INE707A01012,VINDHYATEL.NS
INE536H01010,CIEINDIA.NS
INE07O001026,EASEMYTRIP.NS
INE335A01020,SURYAROSNI.NS
INE027A01015,RCF.NS
INE086A01029,ELECTCAST.NS
INE131B01039,RELAXO.NS
INE087H01022,RENUKA.NS
INE883N01014,PARAGMILK.NS
INE239C01020,STYLAMIND.NS
INE470A01017,3MINDIA.NS
INE999A01023,KSB.NS
INE01TY01017,CANHLIFE.NS
INE216P01012,AAVAS.NS
INE195J01029,PNCINFRA.NS
INE128X01021,ACI.NS
INE976A01021,WSTCSTPAPR.NS
INE179A01014,PGHH.NS
INE236E01022,ELLEN.NS
INE132H01018,AURIONPRO.NS
INE192H01020,GRMOVER.NS
INE244B01030,PATELENG.NS
INE978A01027,HERITGFOOD.NS
INE026A01025,GSFC.NS
INE694D01016,VADILALIND.NS
INE00IN01015,STOVEKRAFT.NS
INE03Q201024,ALIVUS.NS
INE118D01016,NUVOCO.NS
INE870H01013,NETWORK18.NS
INE406M01024,ERIS.NS
INE667G01023,SAKSOFT.NS
INE427F01016,CHALET.NS
INE439A01020,ASAHIINDIA.NS
INE320J01015,RITES.NS
INE188A01015,FACT.NS
INE075I01017,HCG.NS
INE541A01023,GMMPFAUDLR.NS
INE800H01010,OMAXE.NS
INE703B01027,RATNAMANI.NS
INE489L01022,IIFLCAPS.NS
INE462A01022,BAYERCROP.NS
INE332A01027,THOMASCOOK.NS
INE046W01019,MUTHOOTMF.NS
INE848A01014,IZMO.NS
INE01R501028,VIKRAN.NS
INE482D01024,CARYSIL.NS
INE278Y01022,CAMPUS.NS
INE835D01023,HIRECT.NS
INE423Y01016,SBFC.NS
INE123F01029,MMTC.NS
INE0ALI01010,ADVAIT.NS
INE932X01026,SHAREINDIA.NS
INE207E01023,RAMRAT.NS
INE0G5901015,EPACK.NS
INE189B01011,STYRENIX.NS
INE686Y01026,FINEORG.NS
INE625X01026,SILVERTUC.NS
INE02ID01020,RAYMONDLSL.NS
INE064C01022,TRIDENT.NS
INE0MWH01014,TRUALT.NS
INE353K01014,ITDC.NS
INE497B01018,SEAMECLTD.NS
INE633B01018,POLYPLEX.NS
INE450U01017,ROUTE.NS
INE264T01014,CAPACITE.NS
INE03JT01014,GODIGIT.NS
INE024F01011,SHILCTECH.NS
INE841L01016,DEEDEV.NS
INE321T01012,DOMS.NS
INE549H01021,ARSSBL.NS
INE442H01029,ASHOKA.NS
INE291D01011,KDDL.NS
INE126J01016,APOLLOPIPE.NS
INE428Q01011,SURYODAY.NS
INE0PA801013,GHCLTEXTIL.NS
INE836B01017,SATIN.NS
INE0CU601026,GMRP&UI.NS
INE345A01011,HINDOILEXP.NS
INE14UN01029,VIDYAWIRES.NS
INE901L01018,APLLTD.NS
INE964H01014,SEPC.NS
INE0KL801015,DCXINDIA.NS
INE753U01022,DIVGIITTS.NS
INE0LMW01024,CELLO.NS
INE884A01027,VAIBHAVGBL.NS
INE565A01014,IOB.NS
INE271B01025,MAHSEAMLES.NS
INE338A01024,TIRUMALCHM.NS
INE665J01013,VMART.NS
INE703H01016,HUBTOWN.NS
INE757A01017,COSMOFIRST.NS
INE163A01018,NOCIL.NS
INE598D01035,ALGOQUANT.NS
INE314T01033,GOKULAGRO.NS
INE613C01026,MCLOUD.NS
INE052I01032,CAMLINFINE.NS
INE00M901018,INTERARCH.NS
